Id_Inventaris	Permendagri_90	Nama_Barang_Permendagri_90	No_Kode_Barang	Nama_Sesuai Kode	Nama_Simbada / Deskripsi_Barang	No_Kode_Register	Luas_Tanah	Thn_Pengadaan	Letak	Hak_Tanah	Tgl_Sertifikat	No_Sertifikat	Penggunaan	Asal_Usul	Harga_Barang	Keterangan	Kode_SKPD	Nama_SKPD	Kode_Lokasi	Nama_Lokasi
7832586	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N lempuyangwangi	00012	3450	2000	Kel. Tegalpanggung	Hak Pakai	0000-00-00	P.3/TGP	SD N lempuyangwangi	Lain-Lain	6423900000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832594	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Gedong Kuning	00010	1162	2000	Kel. Rejowinangun	Hak Pakai	0000-00-00	P.2/Rjw	SD N Gedong Kuning	Lain-Lain	457828000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832585	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N lempuyangan	00011	1859	2000	Kel. Tegalpanggung	Hak Pakai	0000-00-00	P.2/TGP	SD N lempuyangan	Lain-Lain	3461458000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832593	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Cokrodiningratan	00004	1400	2000	Kel. Cokrodiningratan	Hak Pakai	0000-00-00	P.3/Sym	SD N Cokrodirjan	Lain-Lain	1444800000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832592	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Tahunan	00005	2647	2000	Kel. Tahunan	Hak Pakai	0000-00-00	P.2/Thn	SD N Tahunan	Lain-Lain	1625258000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832591	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Tamansari It	00006	1002	2000	Kel.Pakuncen	Hak Pakai	0000-00-00	P.3/Pkc	SD N Tamansari It	Lain-Lain	2035062000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832598	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Jetis II	00002	64	2000	Kel.  Cokrodiningratan	Hak Pakai	0000-00-00	P.20/Ckd	SD N Jetis II	Lain-Lain	21440000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832589	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Bener	00007	2745	2000	Kel. Bener	Hak Pakai	0000-00-00	P.ll/Bener	SD N Bener It/IV	Lain-Lain	667035000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832597	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Jetis II	00001	837	2000	Kel.  Cokrodiningratan	Hak Pakai	0000-00-00	P.19/Ckd	SD N Jetis II	Lain-Lain	280395000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832588	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Jetis 1 2	00009	1691	2000	Kel. Cokrodiningratan	Hak Pakai	0000-00-00	P.17/CK0	SD N Jetis 1 2	Lain-Lain	2911902000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
